K,C,M,Y,W
k50,c0,m50,y0,w0
k0,c0,m50,y0,w50
k50,c0,m0,y50,w0
k0,c0,m0,y50,w50
k50,c0,m0,y0,w50
k0,c50,m25,y25,w0
k25,c50,m25,y0,w0
k0,c50,m25,y0,w25
k25,c50,m0,y25,w0
k0,c50,m0,y25,w25
k25,c50,m0,y0,w25
k0,c25,m50,y25,w0
k25,c25,m50,y0,w0
k0,c25,m50,y0,w25
k25,c0,m50,y25,w0
k0,c0,m50,y25,w25
k25,c0,m50,y0,w25
k0,c25,m25,y50,w0
k25,c25,m0,y50,w0
k0,c25,m0,y50,w25
k25,c0,m25,y50,w0
k0,c0,m25,y50,w25
k25,c0,m0,y50,w25
k50,c25,m25,y0,w0
k50,c25,m0,y25,w0
k50,c25,m0,y0,w25
k50,c0,m25,y25,w0
k50,c0,m25,y0,w25
k50,c0,m0,y25,w25
k0,c25,m25,y0,w50
k0,c25,m0,y25,w50
k25,c25,m0,y0,w50
k0,c0,m25,y25,w50
k25,c0,m25,y0,w50
k25,c0,m0,y25,w50
k0,c100,m0,y0,w0
k0,c0,m100,y0,w0
k0,c0,m0,y100,w0
k100,c0,m0,y0,w0
k0,c0,m0,y0,w100
k25,c25,m25,y25,w0
k0,c25,m25,y25,w25
k25,c25,m25,y0,w25
k25,c25,m0,y25,w25
k25,c0,m25,y25,w25
k0,c75,m25,y0,w0
k0,c75,m0,y25,w0
k25,c75,m0,y0,w0
k0,c75,m0,y0,w25
k0,c25,m75,y0,w0
k0,c0,m75,y25,w0
k25,c0,m75,y0,w0
k0,c0,m75,y0,w25
k0,c25,m0,y75,w0
k0,c0,m25,y75,w0
k25,c0,m0,y75,w0
k0,c0,m0,y75,w25
k75,c25,m0,y0,w0
k75,c0,m25,y0,w0
k75,c0,m0,y25,w0
k75,c0,m0,y0,w25
k0,c25,m0,y0,w75
k0,c0,m25,y0,w75
k0,c0,m0,y25,w75
k25,c0,m0,y0,w75
k0,c50,m50,y0,w0
k0,c50,m0,y50,w0
k50,c50,m0,y0,w0
k0,c50,m0,y0,w50
k0,c0,m50,y50,w0
